Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-04-30 12:54AM","2020-04-30 9:45AM","468","62","33","530","93","259","116"
"2020-04-29 12:50AM","2020-04-29 9:27AM","461","56","37","517","111","255","95"
"2020-04-28 12:18AM","2020-04-28 9:29AM","485","66","32","551","100","305","80"
"2020-04-27 9:32PM","2020-04-27 10:58PM","84","2","0","86","N/A","N/A","N/A"
"2020-04-26 5:21PM","2020-04-26 7:05PM","100","4","1","104","N/A","N/A","N/A"
"2020-04-26 1:08AM","2020-04-26 2:25AM","74","3","1","77","N/A","N/A","N/A"
"2020-04-25 8:24PM","2020-04-25 9:25PM","61","0","0","61","N/A","N/A","N/A"
"2020-04-25 2:11AM","2020-04-25 3:21AM","64","6","3","70","N/A","N/A","N/A"

